TIMESTAMP,Sand_SM_10,Sand_SM_30,Sand_SM_50,Sand_SM_70,Sand_SM_90,Sand_SM_110,Sand_SM_130,Sand_SM_150,Sand_SM_170,Sand_SM_190,Sand_SM_210,Sand_SM_230,Slate_SM_10,Slate_SM_30,Slate_SM_50,Slate_SM_70,Slate_SM_90,Slate_SM_110,Slate_SM_130,Slate_SM_150,Slate_SM_170
2017-04-05T12:00:00,12.51,9.16,16.695,20.745,23.275,27.895,25.34,27.79,14.305,14.91,13.465,16.225,,,,,,,,,
2017-04-05T12:30:00,12.515,9.165,16.705,20.75,23.275,27.895,25.335,27.795,14.315,14.91,13.475,16.225,,,,,,,,,
2017-04-05T13:00:00,12.52,9.17,16.71,20.75,23.285,27.895,25.31,27.77,14.31,14.91,13.475,16.215,,,,,,,,,
2017-04-05T13:30:00,12.535,9.18,16.72,20.745,23.270000000000003,27.895,25.315,27.8,14.305,14.885000000000002,13.465,16.22,,,,,,,,,
2017-04-05T14:00:00,12.54,9.18,16.71,20.76,23.27,27.895,25.33,27.785,14.305,14.9,13.455,16.215,,,,,,,,,
2017-04-05T14:30:00,12.545,9.19,16.725,20.75,23.28,27.895,25.285,27.775,14.295,14.905,13.455,16.2,17.735,16.810000000000002,26.04,30.41,19.935,14.94,22.82,19.445,17.64
2017-04-05T15:00:00,12.56,9.19,16.755000000000006,20.755,23.270000000000003,27.91,25.275,27.775,14.29,14.87,13.465,16.195,17.740000000000006,16.79,26.045,30.37,19.935,14.95,22.84,19.425,17.615000000000006
2017-04-05T15:30:00,12.56,9.195,16.735,20.75,23.28,27.905,25.285,27.765,14.29,14.88,13.455,16.19,17.735,16.77,26.055,30.37,19.94,14.945,22.825,19.42,17.57
2017-04-05T16:00:00,12.505,9.185,16.65,20.74,23.270000000000003,27.865,25.285,27.775,14.285,14.864999999999998,13.45,16.225,17.75,16.85,26.05,30.42,19.94,14.94,22.825,19.415,17.63
2017-04-05T16:30:00,12.46,9.19,16.62,20.755000000000006,23.29,27.91,25.275,27.77,14.28,14.88,13.435,16.200000000000006,17.735,16.82,26.07,30.39,19.94,14.935,22.825,19.415,17.605
2017-04-05T17:00:00,12.445,9.18,16.605,20.745,23.275,27.92,25.26,27.745,14.285,14.864999999999998,13.415,16.195,17.740000000000006,16.82,26.06,30.4,19.935,14.94,22.805,19.41,17.535
2017-04-05T17:30:00,12.44,9.185,16.605,20.76,23.28,27.9,25.235,27.74,14.27,14.85,13.425,16.175,17.73,16.825,26.065,30.395,19.925,14.935,22.805,19.4,17.505000000000006
2017-04-05T18:00:00,12.43,9.19,16.595,20.765,23.275,27.91,25.24,27.73,14.285,14.864999999999998,13.405,16.189999999999998,17.735,16.84,26.07,30.415,19.935,14.94,22.795,19.395,17.634999999999994
2017-04-05T18:30:00,12.435,9.185,16.605,20.755000000000006,23.270000000000003,27.915,25.24,27.75,14.275,14.86,13.4,16.189999999999998,17.740000000000006,16.845,26.075,30.405,19.93,14.94,22.815,19.395,17.634999999999994
2017-04-05T19:00:00,12.43,9.19,16.6,20.745,23.265,27.91,25.25,27.745,14.275,14.85,13.42,16.189999999999998,17.735,16.805,26.065,30.42,19.93,14.93,22.815,19.405,17.595
2017-04-05T19:30:00,12.425,9.19,16.605,20.745,23.275,27.91,25.24,27.75,14.27,14.86,13.41,16.185000000000002,17.74,16.835,26.06,30.425,19.93,14.945,22.795,19.395,17.57
2017-04-05T20:00:00,12.43,9.19,16.6,20.76,23.275,27.91,25.235,27.735,14.275,14.85,13.425,16.175,17.744999999999994,16.83,26.055,30.405,19.92,14.94,22.82,19.385,17.605
2017-04-05T20:30:00,12.435,9.195,16.595,20.76,23.27,27.915,25.235,27.735,14.275,14.85,13.405,16.18,17.75,16.814999999999998,26.055,30.42,19.925,14.93,22.8,19.380000000000006,17.625
2017-04-05T21:00:00,12.425,9.195,16.605,20.74,23.275,27.9,25.225,27.75,14.27,14.84,13.4,16.175,17.75,16.81,26.05,30.395000000000003,19.92,14.94,22.8,19.39,17.630000000000006
2017-04-05T21:30:00,12.43,9.185,16.6,20.75,23.270000000000003,27.9,25.235,27.735,14.265,14.84,13.38,16.175,17.744999999999994,16.814999999999998,26.065,30.425,19.925,14.935,22.8,19.385,17.66
2017-04-05T22:00:00,12.42,9.195,16.605,20.755000000000006,23.27,27.9,25.22,27.735,14.265,14.83,13.42,16.175,17.755000000000006,16.835,26.06,30.435,19.935,14.925,22.805,19.39,17.705
2017-04-05T22:30:00,12.435,9.195,16.6,20.74,23.26,27.9,25.235,27.735,14.265,14.84,13.42,16.175,17.759999999999994,16.865000000000002,26.065,30.43,19.93,14.935,22.805,19.37,17.695
2017-04-05T23:00:00,12.42,9.185,16.605,20.76,23.28,27.91,25.235,27.735,14.26,14.835,13.385000000000002,16.18,17.765,16.845,26.065,30.435,19.93,14.935,22.805,19.385,17.700000000000006
2017-04-05T23:30:00,12.42,9.195,16.605,20.745,23.27,27.905,25.22,27.73,14.265,14.83,13.395,16.17,17.765,16.869999999999994,26.07,30.44,19.93,14.94,22.8,19.38,17.705
2017-04-06T00:00:00,12.415,9.185,16.6,20.745,23.28,27.9,25.235,27.74,14.255,14.83,13.385,16.175,17.765,16.83,26.065,30.445,19.93,14.935,22.8,19.375,17.619999999999994
